1336 Compositions 

alloy     Yield Strength, GPa
===============================
Ca80Al20 0.6590922972117
Ni80Ca20 1.21525334748072
Ni60Ca40 1.22282519938948
Ca60Ni40 1.22906254075473
Ca80Ni20 1.23411137781952
Ag80Ca20 0.55061215666501
Ag60Ca40 0.559322467820488
Ca60Ag40 0.569617092101717
Ca80Ag20 0.581447916062371
Ni80Sc20 1.1752701764597
Ni60Sc40 1.2039528624544
Sc60Ni40 1.23191128058524
Sc80Ni20 1.25888520617664
Gd80Sc20 0.974595367921157
Gd60Sc40 0.998151087883463
Sc60Gd40 1.02243700160113
Sc80Gd20 1.04720021557495
Ti80Sc20 1.09507964231415
Ti60Sc40 1.12523801095172
Sc60Ti40 1.15573535626737
Sc80Ti20 1.18617542606853
Pd80Sc20 1.36418364238591
Pd60Sc40 1.41847386624424
Sc60Pd40 1.47457205429447
Sc80Pd20 1.53211273170509
Co80Sc20 1.13834023337772
Co60Sc40 1.16963154204688
Sc60Co40 1.20053857886522
Sc80Co20 1.23074860055156
Cr80Ti20 1.39431751227818
Cr60Ti40 1.44507560455981
Ti60Cr40 1.49550221756054
Ti80Cr20 1.54497048128462
Ca80Ti20 1.27834402202244
Ca60Ti40 1.3167109821022
Ti60Ca40 1.35517136928145
Ti80Ca20 1.39339431640486
Zr80Ti20 1.12353129717187
Zr60Ti40 1.16440335285095
Ti60Zr40 1.20507810971408
Ti80Zr20 1.24508274616204
Sn80Ti20 1.03713985071131
Sn60Ti40 1.07969362696442
Ti60Sn40 1.12332868246348
Ti80Sn20 1.16736208346293
Zr80Ti20 1.82816348669197
Zr60Ti40 1.91285283373214
Ti60Zr40 1.99825778709212
Ti80Zr20 2.08261607309257
Al80Cr20 3.02295055395244
Al60Cr40 3.14478490585226
Cr60Al40 3.25637729646062
Cr80Al20 3.35522088548015
Mg80Cr20 1.46144145671117
Mg60Cr40 1.50177597540716
Cr60Mg40 1.54011848799479
Cr80Mg20 1.57624943106991
Fe80Cr20 1.48836726351247
Fe60Cr40 1.53776318871758
Cr60Fe40 1.58646079973779
Cr80Fe20 1.63396938294935
La80Cr20 1.10018082629964
La60Cr40 1.13327524458953
Cr60La40 1.1670533659039
Cr80La20 1.20110216788306
La80Cr20 2.05259404264903
La60Cr40 2.14807548407669
Cr60La40 2.24557383857021
Cr80La20 2.34365842352077
Au80Fe20 1.43055539147824
Au60Fe40 1.49120369227004
Fe60Au40 1.55579039506137
Fe80Au20 1.62410245303814
Pd80Fe20 1.27473951597045
Pd60Fe40 1.31695655374588
Fe60Pd40 1.35917879511332
Fe80Pd20 1.40098983211483
Be80Fe20 1.32355488383324
Be60Fe40 1.36463874815099
Fe60Be40 1.40411960348467
Fe80Be20 1.44154969993277
Ti80Fe20 2.30281175461565
Ti60Fe40 2.39636543729134
Fe60Ti40 2.4905033775275
Fe80Ti20 2.58350927288714
P80Fe20 1.07745578904078
P60Fe40 1.11911457757832
Fe60P40 1.15984185265524
Fe80P20 1.19900246611927
W80Co20 1.97803116668753
W60Co40 2.01786289473486
Co60W40 2.05680827157646
Co80W20 2.09510240854571
Sn80Co20 1.04203903738179
Sn60Co40 1.08524346772649
Co60Sn40 1.12856290876282
Co80Sn20 1.17119676001465
Ca80Co20 1.95931314686333
Ca60Co40 2.03016608019774
Co60Ca40 2.10114374930871
Co80Ca20 2.17108141750445
Hf80Co20 1.65089357113982
Hf60Co40 1.69283067830666
Co60Hf40 1.73476271999908
Co80Hf20 1.77675898263572
Cu80Co20 1.5093604823676
Cu60Co40 1.5686374717859
Co60Cu40 1.6271671072596
Co80Cu20 1.68381579229238
Nb80Ni20 1.96875926951431
Nb60Ni40 2.06465676402971
Ni60Nb40 2.16315420983994
Ni80Nb20 2.26230750325913
Zn80Ni20 0.964836720510248
Zn60Ni40 0.997173763586594
Ni60Zn40 1.03067280893987
Ni80Zn20 1.06493668391745
Hf80Ni20 1.7719849393373
Hf60Ni40 1.8392932760082
Ni60Hf40 1.90849347967652
Ni80Hf20 1.97871811440064
Be80Ni20 1.31326962282289
Be60Ni40 1.34894390305195
Ni60Be40 1.38341434792914
Ni80Be20 1.41647266504365
Mo80Ni20 1.88141636409526
Mo60Ni40 1.96636219255741
Ni60Mo40 2.0521393713433
Ni80Mo20 2.13695941135045
P80Cu20 0.98413615689295
P60Cu40 1.01164052058252
Cu60P40 1.0388348059322
Cu80P20 1.06528692843614
Mg80Cu20 1.10859227851777
Mg60Cu40 1.14039614085453
Cu60Mg40 1.17034189075052
Cu80Mg20 1.19804234419039
Sc80Cu20 1.16005908146368
Sc60Cu40 1.18876040716133
Cu60Sc40 1.21703579458233
Cu80Sc20 1.24440213468233
W80Cu20 1.56473842236835
W60Cu40 1.61022342023137
Cu60W40 1.65713707164709
Cu80W20 1.70544062525449
B80Cu20 1.19456439536416
B60Cu40 1.22607393965553
Cu60B40 1.25762766487988
Cu80B20 1.28892384795837
Ag80Zn20 0.77993834753113
Ag60Zn40 0.80114917548349
Zn60Ag40 0.822909016427672
Zn80Ag20 0.844877779302602
Ag80Zn20 0.896613718368817
Ag60Zn40 0.918047900410503
Zn60Ag40 0.939999050072613
Zn80Ag20 0.962230014964664
Gd80Zn20 0.915404756386004
Gd60Zn40 0.938244745431095
Zn60Gd40 0.961441639488099
Zn80Gd20 0.984729796987488
P80Zn20 0.748491854290622
P60Zn40 0.765839959068508
Zn60P40 0.783241690776715
Zn80P20 0.80040279801521
Au80Zn20 0.630754610150356
Au60Zn40 0.640365402889959
Zn60Au40 0.651199367510892
Zn80Au20 0.663319626798181
W80Zr20 1.69627175748584
W60Zr40 1.72214711110053
Zr60W40 1.74634070968522
Zr80W20 1.76903378836758
Al80Zr20 1.45108645758
Al60Zr40 1.50722129123826
Zr60Al40 1.56061397035817
Zr80Al20 1.61038340378122
Ti80Zr20 1.71377603952026
Ti60Zr40 1.76753160194068
Zr60Ti40 1.82082147927156
Zr80Ti20 1.87292353304195
Zn80Zr20 1.48701660500684
Zn60Zr40 1.54755759307691
Zr60Zn40 1.60933262495206
Zr80Zn20 1.67158522214538
Hf80Zr20 1.61678478395897
Hf60Zr40 1.66823264700071
Zr60Hf40 1.7209367623022
Zr80Hf20 1.77481787007791
B80Nb20 4.07522834577707
B60Nb40 4.19405180600277
Nb60B40 4.29434094264852
Nb80B20 4.37598581888807
W80Nb20 2.13843164987607
W60Nb40 2.25005980330434
Nb60W40 2.36629139019963
Nb80W20 2.48528263383434
Ta80Nb20 2.77645712471918
Ta60Nb40 2.92089484300849
Nb60Ta40 3.06213744370168
Nb80Ta20 3.19650852175862
Si80Nb20 3.02538415974567
Si60Nb40 3.16413964917783
Nb60Si40 3.29121684932821
Nb80Si20 3.40432307541525
W80Nb20 2.60386658469543
W60Nb40 2.6928023691763
Nb60W40 2.78526971370602
Nb80W20 2.88125798310651
Zr80Mo20 3.27411067270357
Zr60Mo40 3.42914954279975
Mo60Zr40 3.57211542656766
Mo80Zr20 3.70000825587484
Cu80Mo20 2.89212760329301
Cu60Mo40 3.02779728592627
Mo60Cu40 3.16015096357305
Mo80Cu20 3.28569661162641
Zr80Mo20 1.86970694995247
Zr60Mo40 1.94173967693474
Mo60Zr40 2.01201034849485
Mo80Zr20 2.0796820577342
Fe80Mo20 3.16972127772501
Fe60Mo40 3.32041649000234
Mo60Fe40 3.4629494612101
Mo80Fe20 3.59408671135814
Sn80Mo20 2.13930227408358
Sn60Mo40 2.25061013403059
Mo60Sn40 2.35756416650175
Mo80Sn20 2.45734277773371
Mg80Pd20 0.908857190208067
Mg60Pd40 0.934406345747546
Pd60Mg40 0.959927682896545
Pd80Mg20 0.985049006773704
Ti80Pd20 1.04496731899676
Ti60Pd40 1.07827425346577
Pd60Ti40 1.11090154667245
Pd80Ti20 1.14256713955322
Si80Pd20 1.92142943442651
Si60Pd40 2.00503932850354
Pd60Si40 2.08841891955398
Pd80Si20 2.16974335518653
Gd80Pd20 1.06091807887093
Gd60Pd40 1.07980777981096
Pd60Gd40 1.09897766571512
Pd80Gd20 1.11845201282566
Ti80Pd20 2.7045872061233
Ti60Pd40 2.83750842248935
Pd60Ti40 2.96688632590215
