1308 Compositions 

alloy     Elastic Modulus, GPa
===============================
Cr60Sn40 136.229338227415
Cr80Sn20 134.024497095266
Sn80Cr20 121.647305605968
Sn60Cr40 118.792779808129
Cr60Sn40 116.309464040892
Cr80Sn20 114.183420698297
Ag80Cr20 140.05423438832
Ag60Cr40 136.832098604629
Cr60Ag40 133.824202580896
Cr80Ag20 131.068065401052
P80Cr20 221.363257978116
P60Cr40 213.265642539689
Cr60P40 205.242019005796
Cr80P20 197.450783475926
P80Cr20 105.259207214107
P60Cr40 102.70498358371
Cr60P40 100.362464714063
Cr80P20 98.284272218718
Mg80Fe20 139.26955645188
Mg60Fe40 134.317206708733
Fe60Mg40 129.876927597046
Fe80Mg20 125.972342699707
Mg80Fe20 124.57373588188
Mg60Fe40 121.437365682101
Fe60Mg40 118.52691876604
Fe80Mg20 115.920040391219
W80Fe20 121.530733942756
W60Fe40 119.653664878784
Fe60W40 117.524059160111
Fe80W20 115.289106203516
Ta80Fe20 125.482395448801
Ta60Fe40 123.104918600182
Fe60Ta40 120.868749182541
Fe80Ta20 118.810906250044
Be80Fe20 144.396017110309
Be60Fe40 140.789640926968
Fe60Be40 137.168891338581
Fe80Be20 133.652177632681
Gd80Co20 110.63153730204
Gd60Co40 109.009374234367
Co60Gd40 107.412485219366
Co80Gd20 105.910768472334
W80Co20 249.475791289733
W60Co40 245.429041375532
Co60W40 241.10009911758
Co80W20 236.59033142179
Fe80Co20 136.575659238636
Fe60Co40 132.491693980247
Co60Fe40 128.830902981544
Co80Fe20 125.546617537705
Ca80Co20 116.833069713921
Ca60Co40 114.036596580277
Co60Ca40 111.629552337574
Co80Ca20 109.563220775867
B80Co20 195.543693731589
B60Co40 190.709040534396
Co60B40 185.72281676211
Co80B20 180.752540188777
Cu80Ni20 96.3799371409724
Cu60Ni40 94.6896098395403
Ni60Cu40 93.2486773678338
Ni80Cu20 92.0694632610738
Cu80Ni20 177.699778852383
Cu60Ni40 173.467298042475
Ni60Cu40 169.042912866115
Ni80Cu20 164.619360412149
Cr80Ni20 224.970846364906
Cr60Ni40 218.419763716224
Ni60Cr40 211.978603121322
Ni80Cr20 205.666206567831
Zn80Ni20 87.7060808515582
Zn60Ni40 86.3127387417415
Ni60Zn40 85.0995649023641
Ni80Zn20 84.0974975658619
Sc80Ni20 99.2252145793325
Sc60Ni40 98.2467462641613
Ni60Sc40 97.4232497723016
Ni80Sc20 96.7325716633872
Mo80Cu20 164.949261510276
Mo60Cu40 159.744046550074
Cu60Mo40 154.673145920038
Cu80Mo20 149.866223276416
P80Cu20 97.7088898892154
P60Cu40 94.9499676455942
Cu60P40 92.6440383025502
Cu80P20 90.7563674475958
Cr80Cu20 132.469814676699
Cr60Cu40 129.597782380977
Cu60Cr40 127.00738075754
Cu80Cr20 124.675645603904
Zn80Cu20 91.0141669066295
Zn60Cu40 88.935283448782
Cu60Zn40 87.187529016399
Cu80Zn20 85.7477896197496
Sc80Cu20 89.3737271748552
Sc60Cu40 87.3765895970746
Cu60Sc40 85.7928827493249
Cu80Sc20 84.5722525392068
Mo80Zn20 90.4439540062705
Mo60Zn40 87.1817635301542
Zn60Mo40 84.443654699315
Zn80Mo20 82.2172023484812
Co80Zn20 47.7600356363507
