2282  Compositions 
B20Co20Ni10Mg10P10Sc10W10 314.087438508975
B30Co10Ni10Mg10P10Sc10W10 312.754189538982
B20P10Cu10Sn10Nb10Ti10Be10 246.27522590411
B20Ti20Be20P10Cu10Sn10Nb10 257.353151998749
B20Nb20P10Cu10Sn10Ti10Be10 247.668896545678
B20Sn20P10Cu10Nb10Ti10Be10 237.558640454939
B20Cu20P10Sn10Nb10Ti10Be10 247.104185904
B20P20Cu10Sn10Nb10Ti10Be10 243.922888231546
B30P10Cu10Sn10Nb10Ti10Be10 240.547275999478
Mg20W10La10Ca10Nb10Au10Ta10 65.6428921863512
Mg20Au20Ta20W10La10Ca10Nb10 69.8782109719393
Mg20Nb20W10La10Ca10Au10Ta10 66.5451244537322
Mg20Ca20W10La10Nb10Au10Ta10 63.9199079070638
Mg20La20W10Ca10Nb10Au10Ta10 64.5533631824309
Mg20W20La10Ca10Nb10Au10Ta10 65.378049722281
Mg30W10La10Ca10Nb10Au10Ta10 64.3964246766255
Mg20Ag10Pd10W10Zr10B10Fe10 76.2517504845443
Mg20B20Fe20Ag10Pd10W10Zr10 79.899073403922
Mg20Zr20Ag10Pd10W10B10Fe10 77.0761964779367
Mg20W20Ag10Pd10Zr10B10Fe10 74.5933375271071
Mg20Pd20Ag10W10Zr10B10Fe10 75.1195609018376
Mg20Ag20Pd10W10Zr10B10Fe10 76.3132334492427
Mg30Ag10Pd10W10Zr10B10Fe10 75.7912134761368
Mg20W10Cu10Pd10Al10Be10Hf10 82.1425052023898
Mg20Be20Hf20W10Cu10Pd10Al10 86.702629500988
Mg20Al20W10Cu10Pd10Be10Hf10 82.8318771283252
Mg20Pd20W10Cu10Al10Be10Hf10 79.8140780336085
Mg20Cu20W10Pd10Al10Be10Hf10 80.6367817592845
Mg20W20Cu10Pd10Al10Be10Hf10 82.0215663265918
Mg30W10Cu10Pd10Al10Be10Hf10 81.2188745285258
Mg20Zn10Ag10Pd10Sn10Nb10Au10 65.3917138180099
Mg20Nb20Au20Zn10Ag10Pd10Sn10 69.0925790701792
Mg20Sn20Zn10Ag10Pd10Nb10Au10 66.4706470877894
Mg20Pd20Zn10Ag10Sn10Nb10Au10 64.2781707495998
Mg20Ag20Zn10Pd10Sn10Nb10Au10 64.0993842549228
Mg20Zn20Ag10Pd10Sn10Nb10Au10 65.561607747512
Mg30Zn10Ag10Pd10Sn10Nb10Au10 65.3143836585862
Mg20B10Cu10Nb10Fe10Zn10Si10 82.7550995554206
Mg20Zn20Si20B10Cu10Nb10Fe10 89.7910936053293
Mg20Fe20B10Cu10Nb10Zn10Si10 84.1392034601206
Mg20Nb20B10Cu10Fe10Zn10Si10 79.5460135063593
